ID,TEXT,LABEL
182,market fall se panic lene ki zarurat nahi hai.,0
183,long-term investors ko fundamentals par focus rakhna chahiye.,0
184,budget ke baad valuation adjustment dekhne ko mila.,0
185,market sentiment short-term main negative raha.,0
186,policy continuity and execution future performance decide karegi.,0
187,budget ke baad investors risk assessment kar rahe hain.,0
188,market ka reaction temporary bhi ho sakta hai.,0
189,economic indicators par ab zyada dhyaan diya ja raha hai.,0
190,budget ke impact ko judge karne ke liye time chahhiye.,0
191,market movements emotions ke saath expectations se bhi driven hote hain.,0
192,budget ke baad investors selective buying strategy apna rahe hain.,0
193,stock market ka fall ek adjustment phase ho sakta hai..,0
194,budget ke baad uncertainity gradually clear hogi.,0
195,long-term growth story abhi intact reh sakti hai.,0
196,market reaction se policy sensitivity reflect hoti hai.,0
197,budget ke baad cautiouc optimism dikh raha hai.,0
198,short-term pressure ke bawajood fundamentals important rahenge.,0
199,market ka response investors ke confidence ko reflect karta hai.,0
200,budget ke baad market ko stabilize hone mein thoda time lag sakta hai.,0
201,"ugc ne equity rule banaya, ab campus mein drama oscar-worthy hoga.",1
202,"""equality"" ka matlab sc/st/obc ko protect karo aur general jaye bhaad main!!",1
203,general students ne bola hamari protection shell nahi sirf armour chahiye..,1
204,ugc ko shayad equality ka matlabh ache she nahi pata..,1
205,bjp ne bhi aaukat dikha di!,1
206,ugc ne divide and rule acha sikha from britishers!,1
207,ugc ke iss rule ka use hoga ki nahi pata nahi but misuse zarur hoga!,1
208,ugc rule itna clear hai ki sab confused hai..,1
209,ugc ne rollback nahi kiya toh general hamesha ke liye back ho jayegi!,1
210,government ne reservation hatane ki jageh reverse discrimination ker di!,1
211,iss ugc rule she toh uno reverse ho gaya,1
212,government ne equality toh kabhi nahi diya but drama hamesha diyaa,1
213,government main shayad padhe likhe log hote toh unhe equality ka matlab bhi samajh ataa,1
214,jinse vote ata tha unko hi backstab ker diya government ne!,1
215,government walo ne shayad maths main sirf divide padhaa hai issliye society divide kerne mai lage hai!,1
216,government focuses on everything bas equality of education ko chor ke,1
217,jinhe lagta hai caste discrimination sirf general wale kerte hai unhe aab apne agyanata ke bubble seh bahar nikal ke dekhna chahiye,1
218,ugc rules itne illogical hain ki lagta hai pee kar banaye gaye hein!,1
219,ye country aab general walo ke liye nahi raha!,1
220,bjp hatao and desh bachao..,1
221,bjp ke end ka reason khud bjp hi banegi.,1
222,"general is new ""dalit""..",1
223,divide and rule on top!,1
224,mission successful hamara desh bat gaya caste ke naam par…,1
225,hindu vs hindu…waah modi ji waah!!,1
226,when the government got bored in dividing country on the basis of religion toh they started to do it on the basis of caste,1
227,upper caste hona has become a curse now!,1
228,arnab goswami developing a spine mere 2026 ke bingo card par nahi tha!!,1
229,is it arnab ya shir it's ai!!!!,1
230,campus life aab hearings aur petitions bhar hi reh jayenge…,1
231,"consitution main likhe ""equality"" word ka acha mazak bana rahi government!!",1
232,generals ke liye aab syllabus she survival tough hone wala hai in colleges!!,1
233,government did khud ki pair par kulhadi marne wala kaam!!,1
234,ugc ke saree members lagta hai st/sc/obc hai!,1
235,agar generals kuch galat kerte hi nahi then why are they so afraid?!!,1
236,operessor aab opress ho rahe!,1
237,st/sc/obc ko lagta hai reservation suffient nahi lag raha thaa…,1
238,general ka support bjp she digest nahi ho paa raha tha!,1
239,college campus is going to become a ranbhumi now..,1
240,kam seh kam students ko toh chor dete apne discrimination ki scheme main…,1
241,"school students ko faltu mai aab equality padhaya ja raha, which they won't see in colleges",1
242,aab generals bjp seh breakup ker legi!,1
243,education ko chor ke aab college campus mai sab kuch hoga..,1
244,government ne bada acha scheme laya hai to distract public from important social issues..,1
245,supreme court hi aab generals ka akhri sahara hai,1
246,lagta hai constituion seh equality word erase ker diya hai…,1
247,reverse discrimination kerne ke baad aab government ko reverse election results ke liye bhi tayaar ho jana chahiye!!,1
248,ugc toh nobal peace prize deserve kerti hein!!,1
249,government ko koi constituion padhao!!,1
250,congratulations government for you upcoming downfall!,1
251,ugc ne naya equity rules laye taaki caste-based discrimination kam ho.,0
252,many students support inclusion of obcs alongside sc/st in anti-discrimination rules.,0
253,general category students concerned about lack of safegaurd for false complaints.,0
254,sc has stayed the implementation of the naya wala ugc rules for now.,0
255,protests are happening at multiple universities new ugc rule ke karan.,0
256,the regulations require equity committees and equal opportuinity centers college mein.,0
257,students ka kehna hai that definition of caste discrimination should cover all categories.,0
258,some educators feel ki rules help kerti hai real discrimination experience ko address kerne mein.,0
259,ye rules long-overdue reforms hai.,0
260,vague language jo use kiya hai ugc ne wo uske karan rule ka misuse ho sakta hai.,0
261,government ko lagta hai ki ye rule unfairly kisi ke against nahi use hogi.,0
262,#ugcrollback students ke bich mai trend peh hai who are opposing the rule.,0
263,"petition have been filed in the supreme court, regulation ko challenge kerne ke liye.",0
264,rules aim to prevent discriminatory behaviour higher education mein.,0
265,mujhe lagta hai these rules can promote safer campuses.,0
266,"equity committees main sc, st, obc, women aur pwd ke representatives honge.",0
267,mujhe lagta hai clear mechanism hone chahiye for all class groups.,0
268,complaint process ke misuse ke liye strong safegaurd bhi hone chahiye.,0
269,transparency in grievance redressal ki bhi demand honi chahiye.,0
270,colleges ko aab carefull rehna padega.,0
271,fairness honi chahiye for all caste.,0
272,the new guidelines has replaced purana 2012 wala framework.,0
273,student bodies rename ker deni chahiye student activist rohit vemula ke naam par.,0
274,i think equity measures zaruri hai discriminaton ko tackle kerne ke liye.,0
275,har college mai rules ko aache she explain kerna hoga to every student.,0
276,humko lagta hai ki the stay by sc is a chance to refine the legislation.,0
277,"har rule ko clear, fair aur easy to implement hona chahiye.",0
278,"educational institutes main ye sab rule nahi lana chahiye, it will divide students more on the basis of caste.",0
279,obc wale bhi engage ho rahe protest mein.,0
280,dialogue between students aur ugc officials is ongoing.,0
281,i belience wider consultations hone chahiye kisi bhi rule ko change kerne seh pehle.,0
282,students ko detail main pura regulation padhna aur samajhna hoga.,0
283,aisaa lag raha inn online debates mein multiple perspectives hai without hostility.,0
284,campus workshops organize kerwana padega.,0
285,equality aur respect toh sare groups ke liye hone chahiye.,0
286,ye regulation country ko divide ker sakta hai.,0
287,"equity rules, anti-discrimination goals ko border kerne ke liye connect ki jati hai.",0
288,grievance precedure ki clarity chahiye hamee.,0
289,there should me more accountability campus mein.,0
290,equal protection milna chahiye har category ke insaan ko.,0
291,ye sab rules ugc ne college mein hue discrimination ke cases ke karan hi banaye hein.,0
292,misinterpretation ko prevent kerne ke liye students ko clarity dena hoga.,0
293,"this topic is very serious, please ispe memes na banaye.",0
294,twitter ke karan kaafi information mil jaa raha iss new rule ke bare mein.,0
295,smart students iss protests wale situation ko calmy deal kerenge,0
296,"caste discrimination ke millions of issues hai, issliye ye rule sahi hai.",0
297,marginalized groups ke equality ko safegaurd kerne ke liye ye regulations important the.,0
298,respect sabko milna chahiye irrespective of background.,0
299,supreme court ko fair decision lena chahiye.,0
300,because of this rule diverse viewpoints samne aa rahe hein.,0
301,"wah kya system hai, paper leak bhi premium feature ban gaya hai.",1
302,mehnat karne wale clowns lag rage hein aab.,1
303,government ne suspense thriller bana diya exam ko,1
304,agla step hai answer key bhi whatsapp pe milegi kya?,1
305,"hard work is outdated, network is important bro..",1
306,lagta hai caoching wale hi topper decide kerte hai.,1
307,exam seh zyada leak ka wait hota hai!,1
308,neet nahi netflix series chal rahi hein!,1
309,transparency level invisible ho gaya hai.,1
310,merit? wo kya hota hai?,1
311,jo honest hai wo hi suffer karega obviously,1
312,ab to paper leak bhi tradition ban gaya hai.,1
313,wah nta kya system hai tumhara!,1
314,great way to test patience instead of knowlegde yaar!!,1
315,agle saal directly result hi announce ker do,1
316,coaching mafia toh laughing in background…,1
317,paper secure kerna aab sach mein rocket science ban gaya hein!,1
318,future doctors ko hi trust nahi de pa rahee.,1
319,kya confidence build ker rahe ho youth ka! waah!,1
320,ab to luck bhi syllabus ka part hai.,1
321,india mein exam dena bhi ek adventure sport hai…,1
322,syllabus kam tha jo drama add kar diya?!,1
323,fair competition? aacha mazak hein..,1
324,mehnat karo aur phir pray karo,1
325,"paper leak without fail, consistency toh dekho..",1
326,students ko stress deke authorities party ker rahi hai!,1
327,ab exam ka excitement hi khatam.,1
328,preparation she zyada connection important hai.,1
329,meritocracy left the chat bhaaaiii!!!,1
330,"har saal same story, new headline",1
331,transparency sirf inke press conference mein hoti hai..,1
332,future doctors ko hi anxiety gift ker diya,1
333,education system aab reality show ban gya hai..,1
334,ab rank system bhi lottery she decide kar lo!,1
335,hardworking students iss tolerance ke liye medal deserve kerte hai..,1
336,exam nahi survival test hai!,1
337,paper leak hone ka time bhi aab fix ho gaya hai..,1
338,kya innovation hai education me,1
339,accountability missing since forever bhai…,1
340,"kya surprise twist tha, paper leak again",1
341,exam se pehle hi result predictable,1
342,parents ka paisa aur students ka trust dono waste..,1
343,sabko pata hai but nobody responsible,1
344,waah kya tarika hai youth empowerment ka!!,1
345,fairness optional subject ban gaya hai…,1
346,ab student hi blame honge..,1
347,transparency mode permanently off gaya hai nta ka..,1
348,"sahi hai, stress build kerte raho",1
349,honest students ko hi punishment milta hai,1
350,education system toh standing ovation deserve kerta hai!,1
351,paper leak hona genuinely hardworking students ke liye unfair hai.,0
352,authorities ko security measures strong karne chahiye.,0
353,"students already bahut stress me hote hain, ye aur pressure badha deta hai",0
354,proper investigation hona zaroori hai.,0
355,jo students saalon se preparation ker rahe hain unko justice milna chahiye.,0
356,agar leak confirm hai to fair re-exam conduct hona chahiye.,0
357,exam process me transparency maintain karna important hai.,0
358,students ka future compromise nahi hona chahiye.,0
359,jo responsible hai unpe strict action lena chahiye.,0
360,aise incidents se system peh trust kam ho jata hai.,0
361,education system me reforms ki zarurat hai.,0
362,lakhs of aspirants is exam ke liye serious effort lagate hain.,0
363,parents aur students dono emotionally affected hote hain.,0
364,government ko accountability leni chahiye.,0
365,exam credibility maintain kerna is very important.,0
366,better digital security systems implement hone chahiye.,0
367,har student ko fair opportuinity milni chahiye.,0
368,students ki mental health bhi consider karni chaiye.,0
369,monitoring system strong hona chahiye.,0
370,is issue ko lightly leke government galti ker degi.,0
371,coaching wale students bhi equally affected hote hain.,0
372,har saal paper leak hona band hona chahiye aab permanently.,0
373,authorities ko clear communication dena chahiye.,0
374,fair competition ensure kerna system ki responsibility hai.,0
375,students ka confidence break ho raha hai.,0
376,strong polocies bana zaruri hai aab.,0
377,ye repeated issue nahi banna chahiye.,0
378,exam integrity maintain karna priority hona chahiye.,0
379,youth ko secure future milna chahiye.,0
380,investigation ka result public hona chahiye.,0
381,honest students ko suffer nahi karna chahiye.,0
382,ye situation genuinely unfortunate hai.,0
383,system improvement ab urgent ho gaya hai.,0
384,future doctors selection process transparent hona chahiye.,0
385,surveillance aur security tolls better hone chahiye.,0
386,trust rebuild karna authorities ki responsibility hai.,0
387,exam process audit karna helpful ho sakta hai.,0
388,students ki voice necessary hai.,0
389,equal opportuinity sabko milni chahiye.,0
390,aisi neligence acceptable nahi hai.,0
391,immediate corrective steps lene chahiye.,0
392,ye serious concern hai students ke liye.,0
393,clear guidelines follow karna important hai.,0
394,system ko students ke interest me kaam karna chahiye.,0
395,proper accountability fix honi chahiye.,0
396,future ke liye strong safegaurds zaroori hain.,0
397,honest preparation ko value milni chahiye.,0
398,authorities ko transparency improve karni chahiye.,0
399,students ka career stake pe hota hai.,0
400,education system fair aur unbiased rehna chahiye.,0
401,"wah, nature ko destroy karne me bhi development ka tag laga diya!",1
402,aravali bachane ki baat sirf environment day pe hi yaad aati hai shayad.,1
403,"pehle jungle kato, phir pollution pe conference karo…perfect planning!",1
404,"concrete jungle hi future hai, asli jungle ki kya zarurat.",1
405,oxygen cylinder business ka future secure ho raha hai lagta hai.,1
406,"trees remove karke malls lagao, priorities clear hain.",1
407,wildlife ka future kaafi blur dikh raha aab toh..,1
408,green cover kam ho raha hai? photoshop ker lenge reports main.,1
409,"aravali ko flat bana ke parking bana doh, easy solution!",1
410,climate change sirf textbook ka chapter hai na?,1
411,"mining bina hills ke kaise chalegi, thoda sacrifice to banta hai.",1
412,"nature ko hi privatize kar do, phir shayad safe rahe.",1
413,development la matlab sirf bulldozer kyu hota hai bhai?,1
414,pehle flood aur heatwave aayegi phir sabko yaad aayega aravali.,1
415,environment ko ignore karna national hobby ban gaya hai.,1
416,aravali bachao tweets karte karte log ac me baith ke complain kar rahe hain.,1
417,"tree cutting ko beautification bol do, sab sorted.",1
418,"hills ko hata ke skyline better lagegi, obvious hai.",1
419,nature ki value tab samajh aayegi jab hawa kharidni padegi.,1
420,"development ke naam pe sab justified hai, tension hi kya hai!",1
421,"jungle hatake farmhouse bana do, elite lifestyle upgrade.",1
422,"report me green dikha do, ground peh kuch bhi ho.",1
423,aravali ko tod ke hi progress milegi shayad according to government.,1
424,"environment activists ko hi anti-development bol do, easy fix.",1
425,50 saal purani hills se zyada important naya project hai obviously.,1
426,"trees ko shift ker denge na, simple!",1
427,"pollution badhe to blame vehicles, hills ko kyun bachana.",1
428,heat 45 degree ho to nature ko yaad karna.,1
429,mining ka profit zyada important hai future se.,1
430,green belt ko grey belt banana hi government ka modernization hai.,1
431,wildlife ka bhi relocation plan hoga shayad powerpoint me.,1
432,nature ko bachana trendy hai but action lene main thoda problem hai.,1
433,sabko fresh air chahiye but trees kisi aur area me hona chahiye.,1
434,development bina destruction ke possible hi nahi hai kya?,1
435,forest cover kam ho raha hai? filter laga ke green kar denge.,1
436,environment concerns ko ignore karna tradition ho gaya hai.,1
437,"aravali gayi to koi baat nahi, naya resort aa jayega.",1
438,"climate summit me speech aur ground pe bulldozer, perfect balance!",1
439,nature ko bhi adjust kerna padega economy ke saath.,1
440,green tax collect karo aur green land hata do.,1
441,"oxygen free mil rahi thi, ab paid service banegi.",1
442,hills bachane wale log bhi eventually thak jayenge.,1
443,flood aur drought dono aayenge phir blame weather ko.,1
444,reports me sab sustainable hota hai.,1
445,development ka matlab sirf construction hi hota hai kya?,1
446,aravali ko tod ke hi smart city banegi shayad.,1
447,trees ko hatao phir plantation drive ki photo daalo.,1
448,environment ke naam pe sirf hashtags chal rahe hain.,1
449,"nature ko destroy karke phir ""save earth"" reel banana nest level irony hai.",1
450,"aravali ko bachana optional hai, profit mandatory hai.",1
451,aravalli hills ko protect kerna bohot important hai environment ke liye.,0
452,deforestation rokne ke liye strict action lena chahiye.,0
453,mining activities ko regulate karna zaroori hai.,0
454,aravali ncr ke liye natural shield ka kaam karti hai.,0
455,agar hills destroy hui to pollution aur badhega.,0
456,government ko conservation peh focus karna chahiye.,0
457,local wildlife ko protect karna hum sab ki responsibility hai.,0
458,illegal construction pe proper monitoring honi chahiye.,0
459,aravali groundwater recharge me bhi help karti hai.,0
460,development aur environment ke beech balance maintain karna chahiye.,0
461,forest cover kam hona long term me harmful hoga.,0
462,authorities ko transparent reports publish karni chahiye.,0
463,citizens ko bhi awareness spread karni chahiye.,0
464,climate change already serious issue hai.,0
465,hills ko destroy karna future generations ke saath unfair hai.,0
466,environmental laws ko strictly implement karna chaiye.,0
467,sustaintable development approach adopt karni hogi.,0
468,plantation drives ko seriously lena chahiye.,0
469,aravali region ecological hotspot hai.,0
470,construction approvals carefully evaluate hone chahiye.,0
471,pollution control ke liye natural barriers zaroori hote hain.,0
472,long term planning environment friendly honi chahiye.,0
473,mining se pehle impact assessment karna important hai,0
474,green cover maintain karna ncr ke liye essential hai.,0
475,public participation conservation me helpful ho sakta hai.,0
476,awareness campaigns aur strong hone chahiye.,0
477,biodiversity protect karna national priority hona chahiye.,0
478,court orders ka proper compliance hona chahiye.,0
479,aravali erosion control me bhi help karti hai.,0
480,environmental violations pe strict penalties lagni chahiye.,0
481,heatwaves reduce karne me forests help karte hain.,0
482,urban planning me ecological factors consider hone chahiye.,0
483,ngos aur authorities ko milkar kaam karna chahiye.,0
484,illegal mining completely stop honi chahiye.,0
485,sustainable infrastructure develop karna better option hai.,0
486,air quality improve karne ke liye hills protect karni zaroori hai.,0
487,government policies environment friendly honi chahiye.,0
488,conservation projects ko funding milni chahiye.,0
489,public hearings properly conduct hone chahiye.,0
490,environmental education schools me strong honi chahiye.,0
491,aravali bachana long term climate strategy ka part kyu nahi hai?,0
492,data based decision making adaopt karna zarori ho gaya hai aab.,0
493,urban expansion controlled hona chahiye.,0
494,citizens ko aab illegal activities report karna hoga.,0
495,tree cutting ko minimize kerna possible hai agar planning sahi ho.,0
496,environmental audits regularly hone chahiye.,0
497,ecosystem damage recover karna mushkil hota hai.,0
498,policy makers ko scientific advice follow karni chahiye aab.,0
499,natural resources responsibly use karne chai=hiye.,0
500,aravali hills ko protect karna hum sab ki collective duty hai.,0
501,"wah kya movie thi, interval tak hi patience test ho gaya!",1
502,story itni unpredictable thi ki kuch samajh hi nahi aaya.,1
503,director ne logic ko optional subject bana diya.,1
504,hero ki entry pe physics ne resign kar diya.,1
505,script shayad whatsapp forward se likhi thi.,1
506,action scenes dekh ke gravity bhi confuse ho gayi.,1
507,itna slow screenplay tha ki buffering yaad aa gayi.,1
508,background music hi real hero tha shayad.,1
509,dialogues sun ke laga meme material mil gaya phir seh.,1
510,plot twist aisa tha ki audience hi twist ho gayi.,1
511,trailer me hi sab best parts dikha diye the.,1
512,editing ne bhi give up kar diya lagta hai.,1
513,hero ka confidence dekh ke nasa contact karna chahiye.,1
514,3 ghante ka motivational session lag raha tha.,1
515,villain ka plan bhi poerpoint level ka tha.,1
516,"cinematography achi thi, bas story missing thi.",1
517,movie dekh ke lagta hai paisa investment tha ya donation.,1
518,actor toh actress ke father ke age ka lag raha tha.,1
519,acting me overconfidence ki dhara beh rahi thi.,1
520,climax mai logic pura vacation peh tha.,1
521,ye movie soft-hearted logo ke liye harmful hai!,1
522,hero ki powers dekh ke avengers bhi retire ho jaye.,1
523,emotional scene mai bhi log has rahe the.,1
524,director ne creativity ko experimental bana diya.,1
525,ye movie nahi endurance challenge tha.,1
526,script writer ko bhi shock laga hoga result dekh ke!,1
527,itna build-up aur playoff zero!!,1
528,dialogue delivery me volume hi acting thi.,1
529,cgi dekh ke 2005 yaad aa gaya.,1
